iter	Passed	Remaining
916	5116	463
917	5122	457
918	5127	451
919	5132	446
920	5140	440
921	5145	435
922	5150	429
923	5155	424
924	5161	418
925	5166	412
926	5172	407
927	5178	401
928	5183	396
929	5188	390
930	5193	384
931	5199	379
932	5204	373
933	5209	368
934	5215	362
935	5220	356
936	5226	351
937	5230	345
938	5236	340
939	5240	334
940	5257	329
941	5266	324
942	5272	318
943	5277	313
944	5284	307
945	5290	301
946	5296	296
947	5302	290
948	5307	285
949	5312	279
950	5318	274
951	5323	268
952	5329	262
953	5334	257
954	5338	251
955	5343	245
956	5349	240
957	5354	234
958	5360	229
959	5366	223
960	5371	218
961	5378	212
962	5383	206
963	5389	201
964	5395	195
965	5402	190
966	5408	184
967	5414	178
968	5420	173
969	5425	167
970	5430	162
971	5435	156
972	5440	150
973	5446	145
974	5452	139
975	5457	134
976	5464	128
977	5470	123
978	5479	117
979	5484	111
980	5489	106
981	5496	100
982	5502	95
983	5508	89
984	5514	83
985	5518	78
986	5526	72
987	5532	67
988	5537	61
989	5545	56
990	5551	50
991	5559	44
992	5566	39
993	5573	33
994	5580	28
995	5586	22
996	5593	16
997	5599	11
998	5605	5
999	5612	0
